#Combined spectrum created by combine_nIR_spectra.pro, knotE_N3.specfrom list
#Wavelengths were already in vacuum heliocentric
#Units are erg/s/cmsq/A, determined by xtellcor_general
wave  flam  noise
11436.9000  -1.795e-17  5.534e-17
11439.2000  1.203e-16  4.374e-17
11441.4000  1.857e-17  4.261e-17
11443.7000  -1.751e-16  3.584e-17
11446.0000  -8.348e-17  3.160e-17
11448.3000  -3.572e-17  2.931e-17
11450.6000  -1.124e-16  2.687e-17
11452.9000  -1.364e-18  2.325e-17
11455.2000  -3.597e-17  1.885e-17
11457.5000  -7.648e-17  1.380e-17
11459.8000  -2.567e-18  1.249e-17
11462.1000  -5.222e-17  1.291e-17
11464.4000  -1.470e-17  1.387e-17
11466.7000  -1.109e-17  1.369e-17
11469.0000  2.008e-17  1.301e-17
11471.2000  2.577e-18  1.175e-17
11473.5000  -1.397e-17  9.758e-18
11475.8000  -2.014e-18  8.965e-18
11478.1000  1.205e-17  8.420e-18
11480.4000  -8.348e-18  7.705e-18
11482.7000  -2.290e-17  7.490e-18
11485.0000  1.065e-17  7.001e-18
11487.3000  7.370e-18  7.149e-18
11489.6000  1.627e-17  6.929e-18
11491.9000  6.893e-18  6.948e-18
11494.2000  -6.439e-18  7.074e-18
11496.5000  3.912e-18  7.398e-18
11498.8000  5.663e-18  6.928e-18
11501.1000  8.462e-18  6.151e-18
11503.4000  -1.874e-18  6.137e-18
11505.7000  7.906e-18  6.101e-18
11508.0000  1.669e-18  6.321e-18
11510.3000  -3.256e-18  6.146e-18
11512.6000  3.147e-18  5.828e-18
11515.0000  3.389e-18  5.243e-18
11517.3000  -7.467e-18  5.370e-18
11519.6000  7.394e-18  5.343e-18
11521.9000  9.061e-18  5.501e-18
11524.2000  1.441e-17  5.724e-18
11526.5000  2.604e-18  5.454e-18
11528.8000  -4.010e-18  5.460e-18
11531.1000  8.817e-18  8.268e-18
11533.4000  -4.089e-18  1.276e-17
11535.7000  -6.423e-18  1.523e-17
11538.0000  3.584e-17  1.618e-17
11540.3000  2.407e-17  1.606e-17
11542.6000  3.730e-19  1.270e-17
11544.9000  -3.630e-19  7.795e-18
11547.3000  2.597e-18  4.868e-18
11549.6000  -4.207e-18  4.500e-18
11551.9000  5.987e-18  4.609e-18
11554.2000  -3.652e-19  4.584e-18
11556.5000  3.072e-18  5.170e-18
11558.8000  -1.142e-17  6.853e-18
11561.1000  -1.015e-17  8.341e-18
11563.4000  9.129e-18  9.128e-18
11565.8000  1.351e-17  8.707e-18
11568.1000  2.349e-19  8.009e-18
11570.4000  -2.534e-18  6.314e-18
11572.7000  3.033e-18  4.991e-18
11575.0000  1.833e-17  4.640e-18
11577.3000  3.886e-18  4.670e-18
11579.7000  8.258e-18  4.456e-18
11582.0000  -3.052e-18  5.333e-18
11584.3000  1.351e-17  8.837e-18
11586.6000  -3.880e-17  1.377e-17
11588.9000  1.352e-17  1.638e-17
11591.2000  3.493e-17  1.746e-17
11593.6000  7.817e-18  1.565e-17
11595.9000  1.337e-18  1.261e-17
11598.2000  -4.353e-18  7.857e-18
11600.5000  -7.814e-19  5.546e-18
11602.8000  -1.907e-17  4.926e-18
11605.2000  -1.021e-17  4.421e-18
11607.5000  -2.611e-18  4.453e-18
11609.8000  1.370e-17  4.500e-18
11612.1000  1.617e-18  4.703e-18
11614.5000  3.606e-18  4.546e-18
11616.8000  7.994e-19  4.690e-18
11619.1000  5.680e-19  4.848e-18
11621.4000  -1.036e-17  6.557e-18
11623.8000  1.052e-18  8.039e-18
11626.1000  2.966e-17  8.746e-18
11628.4000  3.885e-18  8.701e-18
11630.7000  6.516e-18  8.105e-18
11633.1000  2.868e-18  5.899e-18
11635.4000  9.838e-18  4.714e-18
11637.7000  6.173e-18  4.519e-18
11640.1000  2.278e-18  4.408e-18
11642.4000  -1.469e-17  6.105e-18
11644.7000  -1.987e-18  9.587e-18
11647.0000  1.091e-17  1.242e-17
11649.4000  2.441e-17  1.268e-17
11651.7000  -4.477e-18  1.288e-17
11654.0000  2.793e-17  1.138e-17
11656.4000  1.137e-17  7.378e-18
11658.7000  8.680e-18  4.793e-18
11661.0000  2.307e-18  4.666e-18
11663.4000  4.798e-18  4.481e-18
11665.7000  2.994e-18  4.481e-18
11668.0000  -8.487e-18  4.447e-18
11670.4000  -1.229e-17  4.474e-18
11672.7000  -1.163e-17  4.918e-18
11675.1000  -1.704e-17  5.027e-18
11677.4000  -7.023e-18  5.026e-18
11679.7000  6.252e-18  4.801e-18
11682.1000  6.965e-18  4.282e-18
11684.4000  3.723e-18  4.292e-18
11686.7000  -1.309e-17  4.476e-18
11689.1000  -1.025e-18  4.867e-18
11691.4000  8.211e-18  6.171e-18
11693.8000  -8.849e-18  6.465e-18
11696.1000  1.016e-18  6.748e-18
11698.4000  2.145e-18  6.681e-18
11700.8000  1.522e-17  5.271e-18
11703.1000  -4.166e-18  4.493e-18
11705.5000  -9.210e-19  4.215e-18
11707.8000  1.277e-17  5.112e-18
11710.2000  -1.028e-18  7.121e-18
11712.5000  8.375e-18  9.128e-18
11714.8000  4.236e-20  1.000e-17
11717.2000  -3.731e-18  9.297e-18
11719.5000  1.957e-17  8.486e-18
11721.9000  -1.120e-18  5.673e-18
11724.2000  1.303e-17  4.288e-18
11726.6000  -8.664e-18  4.095e-18
11728.9000  7.114e-18  4.391e-18
11731.3000  1.935e-17  4.263e-18
11733.6000  4.096e-17  4.415e-18
11736.0000  4.495e-17  4.343e-18
11738.3000  6.595e-17  4.511e-18
11740.7000  5.822e-17  4.359e-18
11743.0000  4.914e-17  4.554e-18
11745.4000  3.124e-17  4.318e-18
11747.7000  6.909e-18  4.385e-18
11750.1000  1.528e-17  4.111e-18
11752.4000  -1.423e-17  4.148e-18
11754.8000  9.811e-19  3.951e-18
11757.1000  -1.237e-19  4.276e-18
11759.5000  -8.284e-18  4.094e-18
11761.8000  -4.652e-18  4.122e-18
11764.2000  1.335e-18  4.140e-18
11766.5000  5.992e-18  4.931e-18
11768.9000  1.003e-17  5.034e-18
11771.2000  1.015e-17  5.238e-18
11773.6000  6.477e-18  5.019e-18
11776.0000  -2.115e-18  4.340e-18
11778.3000  2.556e-18  4.190e-18
11780.7000  8.855e-19  4.588e-18
11783.0000  3.273e-18  5.824e-18
11785.4000  7.802e-18  6.242e-18
11787.7000  1.623e-17  6.579e-18
11790.1000  -3.262e-18  6.203e-18
11792.5000  5.767e-18  5.086e-18
11794.8000  7.260e-18  4.037e-18
11797.2000  1.067e-17  3.739e-18
11799.5000  1.213e-17  3.875e-18
11801.9000  2.313e-18  3.708e-18
11804.3000  6.763e-18  3.634e-18
11806.6000  1.004e-17  3.761e-18
11809.0000  7.857e-18  3.702e-18
11811.4000  -1.420e-19  3.503e-18
11813.7000  4.091e-18  3.885e-18
11816.1000  4.037e-18  3.813e-18
11818.4000  -8.401e-18  4.016e-18
11820.8000  -1.618e-19  4.051e-18
11823.2000  5.255e-18  3.836e-18
11825.5000  4.660e-18  3.897e-18
11827.9000  1.675e-18  3.731e-18
11830.3000  -5.554e-19  3.627e-18
11832.6000  9.749e-19  3.637e-18
11835.0000  4.642e-18  3.610e-18
11837.4000  3.301e-18  3.628e-18
11839.8000  -7.350e-20  3.462e-18
11842.1000  -7.864e-18  3.595e-18
11844.5000  5.148e-18  3.465e-18
11846.9000  -8.632e-18  3.718e-18
11849.2000  -1.324e-18  3.990e-18
11851.6000  -6.782e-18  4.040e-18
11854.0000  3.413e-18  3.663e-18
11856.3000  4.977e-18  3.601e-18
11858.7000  -6.231e-18  3.402e-18
11861.1000  9.525e-18  3.768e-18
11863.5000  5.423e-19  4.008e-18
11865.8000  -2.249e-18  4.170e-18
11868.2000  -3.208e-18  3.340e-18
11870.6000  4.478e-18  2.874e-18
11873.0000  3.444e-18  2.774e-18
11875.3000  1.651e-18  3.261e-18
11877.7000  5.904e-19  3.399e-18
11880.1000  7.074e-18  3.365e-18
11882.5000  7.365e-18  3.214e-18
11884.9000  9.810e-20  3.066e-18
11887.2000  -3.145e-19  3.124e-18
11889.6000  -4.570e-18  3.028e-18
11892.0000  2.179e-18  3.020e-18
11894.4000  8.924e-18  3.026e-18
11896.8000  7.033e-18  2.936e-18
11899.1000  1.260e-18  3.059e-18
11901.5000  6.091e-18  3.055e-18
11903.9000  6.311e-18  3.012e-18
11906.3000  1.406e-18  3.069e-18
11908.7000  1.007e-17  2.894e-18
11911.0000  8.333e-18  3.088e-18
11913.4000  4.413e-18  2.956e-18
11915.8000  1.383e-19  2.921e-18
11918.2000  1.201e-18  2.860e-18
11920.6000  -1.070e-18  2.892e-18
11923.0000  4.656e-18  2.883e-18
11925.4000  3.145e-18  2.813e-18
11927.7000  5.012e-18  2.998e-18
11930.1000  8.176e-18  2.814e-18
11932.5000  3.033e-18  2.922e-18
11934.9000  4.735e-18  3.071e-18
11937.3000  2.793e-18  3.054e-18
11939.7000  -5.523e-19  2.925e-18
11942.1000  6.261e-18  2.875e-18
11944.5000  6.268e-18  3.038e-18
11946.9000  7.964e-18  2.902e-18
11949.2000  3.655e-18  3.127e-18
11951.6000  4.517e-18  3.047e-18
11954.0000  -2.236e-19  2.959e-18
11956.4000  1.044e-17  2.729e-18
11958.8000  3.090e-18  2.753e-18
11961.2000  -6.292e-18  3.006e-18
11963.6000  9.001e-18  3.588e-18
11966.0000  1.457e-17  4.396e-18
11968.4000  8.574e-18  5.184e-18
11970.8000  6.587e-18  5.700e-18
11973.2000  1.193e-17  5.855e-18
11975.6000  6.332e-18  5.508e-18
11978.0000  -1.170e-17  5.415e-18
11980.4000  5.199e-19  5.495e-18
11982.8000  6.087e-18  6.139e-18
11985.2000  1.003e-18  7.058e-18
11987.6000  2.639e-19  6.905e-18
11990.0000  7.641e-18  6.464e-18
11992.4000  8.625e-18  5.645e-18
11994.8000  7.301e-19  4.848e-18
11997.2000  1.235e-18  5.086e-18
11999.6000  9.297e-18  6.302e-18
12002.0000  8.980e-18  7.967e-18
12004.4000  -6.052e-18  8.884e-18
12006.8000  8.721e-18  8.667e-18
12009.2000  -4.020e-18  7.911e-18
12011.6000  2.492e-18  6.022e-18
12014.0000  -1.069e-18  3.691e-18
12016.4000  7.312e-18  3.469e-18
12018.8000  4.574e-18  4.476e-18
12021.2000  1.254e-17  5.772e-18
12023.6000  -1.744e-18  7.402e-18
12026.0000  -1.260e-18  9.267e-18
12028.4000  -5.218e-18  9.924e-18
12030.8000  1.557e-17  9.463e-18
12033.2000  1.856e-17  8.511e-18
12035.6000  1.330e-17  6.206e-18
12038.0000  1.188e-17  3.690e-18
