ID,l_O2-3727,O2-3727,e_O2-3727,f_O2-3727,l_Ne3-3869,Ne3-3869,e_Ne3-3869,f_Ne3-3869,l_Ne3-3967,Ne3-3967,e_Ne3-3967,f_Ne3-3967,l_Hd,Hd,e_Hd,f_Hd,Hg,e_Hg,f_Hg,l_O3-4363,O3-4363,e_O3-4363,f_O3-4363,Hb,e_Hb,f_Hb,O3-4959,e_O3-4959,f_O3-4959,O3-5007,e_O3-5007,f_O3-5007,Ha,e_Ha,f_Ha,l_S2-6717,S2-6717,e_S2-6717,f_S2-6717,l_S2-6731,S2-6731,e_S2-6731,f_S2-6731,newrat
MK02,,1.73,0.01,b,,0.34,0.01,b,,0.22,,b,,0.23,,b,0.39,,a,,0.033,0.003,a,68.0,0.17,a,1.47,,a,4.54,,a,2.43,0.01,"d,a",,0.13,,a,,0.09,,a,0.196531791908
MK03,,0.64,0.03,b,,0.5,0.03,b,,0.23,0.03,b,,0.21,0.03,b,0.45,0.03,b,,0.123,0.019,a,4.91,0.07,a,2.35,0.01,a,6.65,0.01,a,2.75,0.02,a,<,0.05,,a,<,0.05,,a,0.78125
MK04,,1.68,0.03,b,,0.39,0.02,b,,0.23,0.02,b,,0.27,0.01,a,0.53,0.01,a,,0.074,0.006,a,19.96,0.09,a,1.95,,"d,a",5.92,,a,3.06,,a,,0.16,0.01,a,,,,,0.232142857143
MMT01,,1.23,0.02,,,0.4,0.02,,,0.22,0.02,,,0.2,0.02,d,0.4,0.02,,,0.152,0.022,,10.17,0.3,,1.92,0.03,,5.61,0.02,,,,,,,,,,,,,0.325203252033
MMT02,,2.82,0.03,,,0.25,0.02,,<,0.05,,,,0.24,0.02,,0.38,0.02,,,0.042,0.014,,7.55,0.15,,1.04,0.02,,2.9,0.02,,,,,,,,,,,,,0.0886524822695
MMT03,,3.68,0.06,,,0.24,0.04,,<,0.0,,,,0.26,0.02,,0.46,0.02,,,0.102,0.028,,5.71,0.17,,0.51,0.04,,1.58,0.03,,,,,,,,,,,,,0.0652173913043
MMT05,,0.55,0.03,,,0.49,0.03,,,0.35,0.03,,,0.21,0.03,,0.49,0.03,,,0.145,0.023,,6.87,0.06,a,2.46,0.01,a,6.88,0.01,a,2.79,0.01,a,<,0.02,,a,<,0.03,,a,0.890909090909
MMT07,,1.09,0.01,,,0.44,0.01,,,0.27,0.01,,,0.2,0.01,,0.5,0.01,,,0.13,0.01,d,17.6,0.09,a,1.93,0.01,a,6.03,,a,3.37,,a,,0.12,0.01,a,,0.09,0.01,a,0.403669724771
MMT08,,2.86,0.02,,,0.27,0.02,,<,0.04,,,,0.25,0.02,,0.41,0.01,,,0.057,0.014,,9.92,0.25,,1.18,0.03,,3.29,0.03,,,,,,,,,,,,,0.0944055944056
MMT09,,3.45,0.06,,,0.31,0.05,,<,0.08,,,,0.31,0.04,,0.42,0.04,,,0.139,0.038,,4.21,0.09,a,1.5,0.02,a,4.71,0.02,a,3.13,0.03,"d,a",,0.13,0.04,a,,0.36,0.05,"d,a",0.0898550724638
MMT10,,1.36,0.02,,,0.37,0.01,,,0.14,0.01,,,0.26,0.01,,0.44,0.01,,,0.089,0.008,,20.93,0.16,,1.69,0.01,,5.11,0.01,,3.09,0.01,,,0.16,0.01,,,0.12,0.01,,0.272058823529
MMT11,,2.22,0.01,,,0.36,0.01,,,0.12,0.01,,,0.24,0.01,,0.45,0.01,,,0.074,0.009,,21.74,0.19,,1.57,0.01,,4.76,0.01,,3.15,0.01,,,0.24,0.02,d,,0.29,0.02,,0.162162162162
MMT13,,1.07,0.08,,,0.26,0.02,,,0.17,0.03,d,,0.28,0.03,,0.47,0.02,,,0.113,0.022,,6.52,0.07,a,1.46,0.01,a,4.32,0.01,a,2.67,0.02,a,<,0.04,,a,<,0.04,,a,0.242990654206
MMT15,,2.45,0.05,,,0.34,0.05,,<,0.08,,,,0.14,0.02,,0.33,0.02,,,0.111,0.026,,8.49,0.18,,0.91,0.02,,2.7,0.02,,2.84,0.02,,,0.28,0.02,,,0.21,0.02,,0.138775510204
MMT16,,1.32,0.1,,,0.17,0.05,,<,0.0,,,,0.21,0.03,,0.46,0.04,,,0.141,0.038,,6.46,0.22,,1.05,0.03,,3.28,0.04,,3.05,0.03,,,0.25,0.04,,,0.22,0.04,,0.128787878788
MMT17,,3.36,0.07,,<,0.18,,,<,0.07,,,<,0.04,,,0.29,0.03,,,0.111,0.033,,12.37,0.32,,0.6,0.02,,1.8,0.03,,3.08,0.01,a,,0.68,0.01,a,,0.52,0.01,a,0.0535714285714
MMT18,,1.15,0.05,,,0.16,0.04,,,0.18,0.05,,,0.26,0.03,,0.34,0.04,,,0.114,0.025,,7.01,0.3,,0.91,0.04,,2.66,0.03,,2.56,0.01,a,,0.18,0.01,a,,0.12,0.01,"d,a",0.139130434783
MMT19,,1.2,0.01,,,0.44,0.01,,,0.24,0.01,,,0.25,0.01,,0.45,0.01,,,0.104,0.009,,30.17,0.31,,1.87,0.01,,5.63,0.01,,3.01,0.01,,,,,,,0.08,0.01,,0.366666666667
MMT20,,3.22,0.04,,,0.17,0.05,,<,0.07,,,,0.2,0.03,,0.38,0.02,,,0.049,0.016,,6.98,0.15,,0.47,0.02,,1.33,0.02,,2.99,0.02,"d,a",,,,,,,,,0.0527950310559
